,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
948,AAPL130607C00425000,AAPL,2013-06-07,call,425.0,A,16.35,,17.35,,1393,422,2013-06-07,1.0,0.0,0.0,0.0,0.3
949,AAPL130607P00425000,AAPL,2013-06-07,put,425.0,A,0.0,,0.01,,9071,6904,2013-06-07,0.0,0.0,0.0,0.0,0.3
950,AAPL130607C00430000,AAPL,2013-06-07,call,430.0,A,11.35,,12.3,,6325,1795,2013-06-07,1.0,0.0,0.0,0.0,0.3
951,AAPL130607P00430000,AAPL,2013-06-07,put,430.0,A,0.0,,0.01,,25841,9079,2013-06-07,0.0,0.0,0.0,0.0,0.3
952,AAPL130607C00435000,AAPL,2013-06-07,call,435.0,A,6.75,,7.1,,38013,4029,2013-06-07,1.0,0.0,0.0,0.0,0.3
953,AAPL130607P00435000,AAPL,2013-06-07,put,435.0,A,0.0,,0.01,,40111,8458,2013-06-07,0.0,0.0,0.0,0.0,0.3
954,AAPL130607C00440000,AAPL,2013-06-07,call,440.0,A,1.78,,2.05,,83546,8320,2013-06-07,1.0,0.0,0.0,0.0,0.3
955,AAPL130607P00440000,AAPL,2013-06-07,put,440.0,A,0.0,,0.01,,43678,7102,2013-06-07,0.0,0.0,0.0,0.0,0.3
956,AAPL130607C00445000,AAPL,2013-06-07,call,445.0,A,0.0,,0.01,,40164,9569,2013-06-07,0.0,0.0,0.0,0.0,0.3
957,AAPL130607P00445000,AAPL,2013-06-07,put,445.0,A,2.91,,3.35,,9558,6703,2013-06-07,-1.0,0.0,0.0,0.0,0.3
958,AAPL130607C00450000,AAPL,2013-06-07,call,450.0,A,0.0,,0.01,,14808,16555,2013-06-07,0.0,0.0,0.0,0.0,0.3
959,AAPL130607P00450000,AAPL,2013-06-07,put,450.0,A,7.8,,8.45,,3589,6054,2013-06-07,-1.0,0.0,0.0,0.0,0.3
960,AAPL130607C00455000,AAPL,2013-06-07,call,455.0,A,0.0,,0.01,,4707,11963,2013-06-07,0.0,0.0,0.0,0.0,0.3
961,AAPL130607P00455000,AAPL,2013-06-07,put,455.0,A,12.55,,13.5,,963,2780,2013-06-07,-1.0,0.0,0.0,0.0,0.3
962,AAPL130607C00460000,AAPL,2013-06-07,call,460.0,A,0.0,,0.01,,1800,12644,2013-06-07,0.0,0.0,0.0,0.0,0.3
963,AAPL130607P00460000,AAPL,2013-06-07,put,460.0,A,17.55,,18.7,,426,1287,2013-06-07,-1.0,0.0,0.0,0.0,0.3
964,AAPL130607C00465000,AAPL,2013-06-07,call,465.0,A,0.0,,0.01,,939,9342,2013-06-07,0.0,0.0,0.0,0.0,0.3
965,AAPL130607P00465000,AAPL,2013-06-07,put,465.0,A,22.55,,23.7,,153,444,2013-06-07,-1.0,0.0,0.0,0.0,0.3
966,AAPL130607C00470000,AAPL,2013-06-07,call,470.0,A,0.0,,0.01,,641,10061,2013-06-07,0.0,0.0,0.0,0.0,0.3
967,AAPL130607P00470000,AAPL,2013-06-07,put,470.0,A,27.7,,28.4,,65,330,2013-06-07,-1.0,0.0,0.0,0.0,0.3
968,AAPL130607C00475000,AAPL,2013-06-07,call,475.0,A,0.0,,0.01,,83,5662,2013-06-07,0.0,0.0,0.0,0.0,0.3
969,AAPL130607P00475000,AAPL,2013-06-07,put,475.0,A,32.65,,33.45,,45,179,2013-06-07,-1.0,0.0,0.0,0.0,0.3
970,AAPL130607C00480000,AAPL,2013-06-07,call,480.0,A,0.0,,0.01,,245,6162,2013-06-07,0.0,0.0,0.0,0.0,0.3
971,AAPL130607P00480000,AAPL,2013-06-07,put,480.0,A,37.65,,38.6,,7,72,2013-06-07,-1.0,0.0,0.0,0.0,0.3
972,AAPL130607C00485000,AAPL,2013-06-07,call,485.0,A,0.0,,0.01,,21,2706,2013-06-07,0.0,0.0,0.0,0.0,0.3
973,AAPL130607P00485000,AAPL,2013-06-07,put,485.0,A,42.65,,43.45,,0,36,2013-06-07,-1.0,0.0,0.0,0.0,0.3
974,AAPL130607C00490000,AAPL,2013-06-07,call,490.0,A,0.0,,0.01,,38,2282,2013-06-07,0.0,0.0,0.0,0.0,0.3
975,AAPL130607P00490000,AAPL,2013-06-07,put,490.0,A,47.7,,48.75,,23,71,2013-06-07,-1.0,0.0,0.0,0.0,0.3
976,AAPL130607C00495000,AAPL,2013-06-07,call,495.0,A,0.0,,0.01,,0,2104,2013-06-07,0.0,0.0,0.0,0.0,0.3
977,AAPL130607P00495000,AAPL,2013-06-07,put,495.0,A,52.65,,53.45,,11,16,2013-06-07,-1.0,0.0,0.0,0.0,0.3
978,AAPL130607C00500000,AAPL,2013-06-07,call,500.0,A,0.0,,0.01,,5,2077,2013-06-07,0.0,0.0,0.0,0.0,0.3
979,AAPL130607P00500000,AAPL,2013-06-07,put,500.0,A,57.5,,58.5,,0,21,2013-06-07,-1.0,0.0,0.0,0.0,0.3
980,AAPL130607C00505000,AAPL,2013-06-07,call,505.0,A,0.0,,0.02,,0,260,2013-06-07,0.0,0.0,0.0,0.0,0.3
981,AAPL130607P00505000,AAPL,2013-06-07,put,505.0,A,62.65,,63.45,,0,0,2013-06-07,-1.0,0.0,0.0,0.0,0.3
982,AAPL130607C00510000,AAPL,2013-06-07,call,510.0,A,0.0,,0.02,,0,742,2013-06-07,0.0,0.0,0.0,0.0,0.3
983,AAPL130607P00510000,AAPL,2013-06-07,put,510.0,A,67.5,,68.45,,4,9,2013-06-07,-1.0,0.0,0.0,0.0,0.3
984,AAPL130607C00515000,AAPL,2013-06-07,call,515.0,A,0.0,,0.02,,0,50,2013-06-07,0.0,0.0,0.0,0.0,0.3
985,AAPL130607P00515000,AAPL,2013-06-07,put,515.0,A,72.6,,73.45,,2,2,2013-06-07,-1.0,0.0,0.0,0.0,0.3
986,AAPL130607C00520000,AAPL,2013-06-07,call,520.0,A,0.0,,0.02,,0,335,2013-06-07,0.0,0.0,0.0,0.0,0.3
987,AAPL130607P00520000,AAPL,2013-06-07,put,520.0,A,77.4,,78.5,,1,2,2013-06-07,-1.0,0.0,0.0,0.0,0.3
988,AAPL130607C00530000,AAPL,2013-06-07,call,530.0,A,0.0,,0.02,,0,331,2013-06-07,0.0,0.0,0.0,0.0,0.3
989,AAPL130607P00530000,AAPL,2013-06-07,put,530.0,A,87.75,,88.5,,1,1,2013-06-07,-1.0,0.0,0.0,0.0,0.3
990,AAPL130607C00540000,AAPL,2013-06-07,call,540.0,A,0.0,,0.02,,10,995,2013-06-07,0.0,0.0,0.0,0.0,0.3
991,AAPL130607P00540000,AAPL,2013-06-07,put,540.0,A,97.8,,98.45,,0,0,2013-06-07,-1.0,0.0,0.0,0.0,0.3
992,AAPL130614C00320000,AAPL,2013-06-14,call,320.0,A,121.0,,122.9,,0,0,2013-06-07,1.0,0.0,-0.8758,0.0,0.415
993,AAPL130614P00320000,AAPL,2013-06-14,put,320.0,A,0.0,,0.03,,0,10,2013-06-07,0.0,0.0,0.0,0.0,0.3799
994,AAPL130614C00330000,AAPL,2013-06-14,call,330.0,A,111.0,,112.9,,0,0,2013-06-07,1.0,0.0,-0.9033,0.0,0.415
995,AAPL130614P00330000,AAPL,2013-06-14,put,330.0,A,0.0,,0.02,,1,14,2013-06-07,0.0,0.0,0.0,0.0,0.3799
996,AAPL130614C00340000,AAPL,2013-06-14,call,340.0,A,101.05,,102.9,,0,0,2013-06-07,1.0,0.0,-0.933,0.0002,0.415
997,AAPL130614P00340000,AAPL,2013-06-14,put,340.0,A,0.0,,0.02,,105,125,2013-06-07,0.0,0.0,-0.0002,0.0,0.3799
998,AAPL130614C00350000,AAPL,2013-06-14,call,350.0,A,91.05,,92.8,,0,3,2013-06-07,1.0,0.0,-0.9859,0.0023,0.415
999,AAPL130614P00350000,AAPL,2013-06-14,put,350.0,A,0.0,,0.03,,1311,8,2013-06-07,0.0,0.0,-0.0044,0.0004,0.3799
1000,AAPL130614C00360000,AAPL,2013-06-14,call,360.0,A,81.05,,82.8,,0,0,2013-06-07,0.9999,0.0,-1.2092,0.0187,0.415
1001,AAPL130614P00360000,AAPL,2013-06-14,put,360.0,A,0.0,,0.05,,11,91,2013-06-07,0.0,0.0,-0.0528,0.0047,0.3799
1002,AAPL130614C00365000,AAPL,2013-06-14,call,365.0,A,76.0,,77.95,,0,0,2013-06-07,0.9998,0.0,-1.5612,0.047,0.415
1003,AAPL130614P00365000,AAPL,2013-06-14,put,365.0,A,0.0,,0.02,,3,41,2013-06-07,-0.0001,0.0,-0.1581,0.0144,0.3799
1004,AAPL130614C00370000,AAPL,2013-06-14,call,370.0,A,71.65,,72.5,,1,28,2013-06-07,0.9995,0.0001,-2.3222,0.1096,0.415
1005,AAPL130614P00370000,AAPL,2013-06-14,put,370.0,A,0.0,,0.05,,42,137,2013-06-07,-0.0002,0.0,-0.4331,0.0396,0.3799
1006,AAPL130614C00375000,AAPL,2013-06-14,call,375.0,A,66.05,,68.0,,0,0,2013-06-07,0.9988,0.0002,-3.8645,0.2375,0.415
1007,AAPL130614P00375000,AAPL,2013-06-14,put,375.0,A,0.0,,0.05,,159,499,2013-06-07,-0.0005,0.0001,-1.0885,0.0995,0.3799
1008,AAPL130614C00380000,AAPL,2013-06-14,call,380.0,A,61.75,,62.35,,0,9,2013-06-07,0.9973,0.0002,-6.779,0.4802,0.415
1009,AAPL130614P00380000,AAPL,2013-06-14,put,380.0,A,0.02,,0.1,,180,358,2013-06-07,-0.0057,0.0005,-12.3696,0.9392,0.4573
1010,AAPL130614C00385000,AAPL,2013-06-14,call,385.0,A,56.8,,57.25,,53,0,2013-06-07,0.9946,0.0005,-11.9089,0.9083,0.415
1011,AAPL130614P00385000,AAPL,2013-06-14,put,385.0,A,0.04,,0.06,,223,551,2013-06-07,-0.0062,0.0007,-12.2523,1.0082,0.422
1012,AAPL130614C00390000,AAPL,2013-06-14,call,390.0,A,51.85,,52.3,,10,49,2013-06-07,0.9896,0.0011,-20.3211,1.6111,0.415
1013,AAPL130614P00390000,AAPL,2013-06-14,put,390.0,A,0.06,,0.1,,677,310,2013-06-07,-0.0096,0.0011,-17.6239,1.4956,0.4092
1014,AAPL130614C00395000,AAPL,2013-06-14,call,395.0,A,46.7,,47.3,,0,33,2013-06-07,0.9811,0.0019,-33.179,2.686,0.415
1015,AAPL130614P00395000,AAPL,2013-06-14,put,395.0,A,0.09,,0.12,,321,423,2013-06-07,-0.0131,0.0015,-21.7807,1.9556,0.3867
1016,AAPL130614C00400000,AAPL,2013-06-14,call,400.0,A,41.95,,42.45,,74,270,2013-06-07,0.9676,0.003,-51.5032,4.2186,0.415
1017,AAPL130614P00400000,AAPL,2013-06-14,put,400.0,A,0.17,,0.2,,1634,1092,2013-06-07,-0.0222,0.0023,-33.5094,3.0635,0.3799
1018,AAPL130614C00405000,AAPL,2013-06-14,call,405.0,A,37.05,,37.6,,77,45,2013-06-07,0.9538,0.0042,-65.8239,5.635,0.3988
1019,AAPL130614P00405000,AAPL,2013-06-14,put,405.0,A,0.28,,0.34,,1242,897,2013-06-07,-0.0355,0.0036,-48.5891,4.5491,0.371
1020,AAPL130614C00410000,AAPL,2013-06-14,call,410.0,A,32.25,,32.7,,54,44,2013-06-07,0.9362,0.0057,-80.4519,7.2749,0.3788
1021,AAPL130614P00410000,AAPL,2013-06-14,put,410.0,A,0.42,,0.51,,1273,1680,2013-06-07,-0.0524,0.0052,-63.6339,6.2269,0.355
1022,AAPL130614C00415000,AAPL,2013-06-14,call,415.0,A,27.55,,28.0,,73,90,2013-06-07,0.9076,0.0078,-102.4733,9.6378,0.3653
1023,AAPL130614P00415000,AAPL,2013-06-14,put,415.0,A,0.75,,0.84,,2069,1218,2013-06-07,-0.0837,0.0075,-90.2325,8.9492,0.3503
1024,AAPL130614C00420000,AAPL,2013-06-14,call,420.0,A,23.05,,23.5,,354,217,2013-06-07,0.8653,0.0105,-130.3834,12.6176,0.3559
1025,AAPL130614P00420000,AAPL,2013-06-14,put,420.0,A,1.2,,1.28,,3501,2278,2013-06-07,-0.1241,0.0104,-116.5112,11.9183,0.3397
1026,AAPL130614C00425000,AAPL,2013-06-14,call,425.0,A,18.8,,19.2,,799,218,2013-06-07,0.8091,0.0135,-158.9452,15.8399,0.3462
1027,AAPL130614P00425000,AAPL,2013-06-14,put,425.0,A,1.98,,2.1,,3124,1638,2013-06-07,-0.1856,0.0136,-151.4821,15.5674,0.3382
1028,AAPL130614C00430000,AAPL,2013-06-14,call,430.0,A,14.85,,15.2,,1503,727,2013-06-07,0.7369,0.0166,-185.2265,18.9921,0.3369
1029,AAPL130614P00430000,AAPL,2013-06-14,put,430.0,A,3.0,,3.2,,3209,1976,2013-06-07,-0.26,0.0168,-180.0638,18.8782,0.3316
1030,AAPL130614C00435000,AAPL,2013-06-14,call,435.0,A,11.4,,11.85,,2898,797,2013-06-07,0.646,0.019,-210.1317,21.645,0.3357
1031,AAPL130614P00435000,AAPL,2013-06-14,put,435.0,A,4.55,,4.7,,4165,1602,2013-06-07,-0.3512,0.0194,-203.4719,21.5807,0.3279
1032,AAPL130614C00440000,AAPL,2013-06-14,call,440.0,A,8.6,,8.7,,7946,2595,2013-06-07,0.5466,0.0205,-220.976,23.0593,0.3316
1033,AAPL130614P00440000,AAPL,2013-06-14,put,440.0,A,6.55,,6.8,,3975,2273,2013-06-07,-0.453,0.0208,-216.1535,23.056,0.3262
1034,AAPL130614C00445000,AAPL,2013-06-14,call,445.0,A,6.1,,6.25,,6578,3203,2013-06-07,0.4432,0.0206,-218.6574,22.9815,0.3294
1035,AAPL130614P00445000,AAPL,2013-06-14,put,445.0,A,9.1,,9.4,,1463,1853,2013-06-07,-0.5579,0.0208,-214.1064,22.9722,0.3245
1036,AAPL130614C00450000,AAPL,2013-06-14,call,450.0,A,4.15,,4.35,,12462,6238,2013-06-07,0.343,0.0193,-201.7631,21.3957,0.3266
1037,AAPL130614P00450000,AAPL,2013-06-14,put,450.0,A,12.15,,12.55,,1347,1196,2013-06-07,-0.6586,0.0195,-198.1986,21.3573,0.3234
1038,AAPL130614C00455000,AAPL,2013-06-14,call,455.0,A,2.8,,2.9,,6664,3986,2013-06-07,0.2552,0.0168,-177.0151,18.6968,0.328
1039,AAPL130614P00455000,AAPL,2013-06-14,put,455.0,A,15.7,,16.25,,370,575,2013-06-07,-0.747,0.0168,-173.2454,18.6116,0.3248
1040,AAPL130614C00460000,AAPL,2013-06-14,call,460.0,A,1.86,,1.9,,6608,5552,2013-06-07,0.183,0.0138,-147.1842,15.432,0.3305
1041,AAPL130614P00460000,AAPL,2013-06-14,put,460.0,A,19.65,,20.4,,230,389,2013-06-07,-0.8186,0.0138,-144.1069,15.3434,0.3283
1042,AAPL130614C00465000,AAPL,2013-06-14,call,465.0,A,1.1,,1.25,,4020,3267,2013-06-07,0.1252,0.0107,-114.6596,11.9949,0.3313
1043,AAPL130614P00465000,AAPL,2013-06-14,put,465.0,A,23.95,,24.65,,94,275,2013-06-07,-0.879,0.0106,-108.8015,11.7131,0.3257
1044,AAPL130614C00470000,AAPL,2013-06-14,call,470.0,A,0.81,,0.82,,8961,2247,2013-06-07,0.0897,0.0081,-93.4161,9.4242,0.3436
1045,AAPL130614P00470000,AAPL,2013-06-14,put,470.0,A,28.55,,29.1,,44,229,2013-06-07,-0.9242,0.0076,-76.0192,8.3089,0.3225
1046,AAPL130614C00475000,AAPL,2013-06-14,call,475.0,A,0.56,,0.57,,2173,2384,2013-06-07,0.0639,0.006,-74.6571,7.2825,0.3554
1047,AAPL130614P00475000,AAPL,2013-06-14,put,475.0,A,33.25,,34.05,,39,119,2013-06-07,-0.9529,0.0052,-52.2147,5.7224,0.3242
1048,AAPL130614C00480000,AAPL,2013-06-14,call,480.0,A,0.33,,0.42,,1621,2557,2013-06-07,0.044,0.0044,-56.8169,5.4178,0.3636
1049,AAPL130614P00480000,AAPL,2013-06-14,put,480.0,A,38.05,,39.1,,8,120,2013-06-07,-0.9725,0.0034,-33.1335,3.6838,0.3242
1050,AAPL130614C00485000,AAPL,2013-06-14,call,485.0,A,0.24,,0.31,,622,1148,2013-06-07,0.0324,0.0033,-46.062,4.223,0.3782
1051,AAPL130614P00485000,AAPL,2013-06-14,put,485.0,A,43.0,,43.65,,98,126,2013-06-07,-0.9847,0.002,-19.6676,2.2454,0.3242
1052,AAPL130614C00490000,AAPL,2013-06-14,call,490.0,A,0.2,,0.24,,1018,1078,2013-06-07,0.0254,0.0026,-39.6082,3.4579,0.3972
1053,AAPL130614P00490000,AAPL,2013-06-14,put,490.0,A,47.95,,48.55,,5,65,2013-06-07,-0.9918,0.0011,-10.7959,1.2981,0.3242
1054,AAPL130614C00495000,AAPL,2013-06-14,call,495.0,A,0.15,,0.19,,302,598,2013-06-07,0.0196,0.002,-32.988,2.7706,0.4129
1055,AAPL130614P00495000,AAPL,2013-06-14,put,495.0,A,52.9,,53.75,,6,51,2013-06-07,-0.9958,0.0005,-5.3111,0.713,0.3242
1056,AAPL130614C00500000,AAPL,2013-06-14,call,500.0,A,0.12,,0.16,,847,2070,2013-06-07,0.0158,0.0016,-28.716,2.309,0.4313
1057,AAPL130614P00500000,AAPL,2013-06-14,put,500.0,A,57.95,,58.45,,17,42,2013-06-07,-0.998,0.0002,-2.1153,0.3726,0.3242
1058,AAPL130614C00505000,AAPL,2013-06-14,call,505.0,A,0.06,,0.1,,1082,239,2013-06-07,0.0095,0.001,-18.3119,1.4856,0.4275
1059,AAPL130614P00505000,AAPL,2013-06-14,put,505.0,A,62.85,,63.6,,0,17,2013-06-07,-0.9991,0.0002,-0.353,0.1855,0.3242
1060,AAPL130614C00510000,AAPL,2013-06-14,call,510.0,A,0.05,,0.09,,751,542,2013-06-07,0.0079,0.0008,-16.1724,1.2585,0.4457
1061,AAPL130614P00510000,AAPL,2013-06-14,put,510.0,A,67.65,,68.55,,2,26,2013-06-07,-0.9996,0.0001,0.5709,0.0882,0.3242
1062,AAPL130614C00515000,AAPL,2013-06-14,call,515.0,A,0.04,,0.06,,1004,211,2013-06-07,0.0049,0.0005,-10.6785,0.831,0.4457
1063,AAPL130614P00515000,AAPL,2013-06-14,put,515.0,A,72.8,,73.45,,2,5,2013-06-07,-0.9998,0.0,1.0347,0.04,0.3242
1064,AAPL130614C00520000,AAPL,2013-06-14,call,520.0,A,0.02,,0.06,,31,356,2013-06-07,0.003,0.0004,-6.8892,0.5361,0.4457
1065,AAPL130614P00520000,AAPL,2013-06-14,put,520.0,A,77.35,,79.05,,0,0,2013-06-07,-0.9999,0.0,1.2602,0.0174,0.3242
1066,AAPL130614C00525000,AAPL,2013-06-14,call,525.0,A,0.0,,0.04,,0,63,2013-06-07,0.0018,0.0002,-4.3457,0.3382,0.4457
1067,AAPL130614P00525000,AAPL,2013-06-14,put,525.0,A,82.35,,84.0,,0,0,2013-06-07,-1.0,0.0,1.3689,0.0073,0.3242
1068,AAPL130614C00530000,AAPL,2013-06-14,call,530.0,A,0.0,,0.03,,102,155,2013-06-07,0.0011,0.0001,-2.682,0.2087,0.4457
1069,AAPL130614P00530000,AAPL,2013-06-14,put,530.0,A,87.35,,89.0,,0,9,2013-06-07,-1.0,0.0,1.4234,0.0028,0.3242
1070,AAPL130614C00535000,AAPL,2013-06-14,call,535.0,A,0.0,,0.14,,16,35,2013-06-07,0.0005,0.0001,-1.6206,0.1261,0.4457
1071,AAPL130614P00535000,AAPL,2013-06-14,put,535.0,A,92.35,,94.0,,0,0,2013-06-07,-1.0,0.0,1.4538,0.0011,0.3242
1072,AAPL130614C00540000,AAPL,2013-06-14,call,540.0,A,0.01,,0.02,,614,162,2013-06-07,0.0004,0.0,-0.9594,0.0747,0.4457
1073,AAPL130614P00540000,AAPL,2013-06-14,put,540.0,A,97.35,,99.0,,0,0,2013-06-07,-1.0,0.0,1.474,0.0004,0.3242
1074,AAPL130622C00200000,AAPL,2013-06-22,call,200.0,A,241.65,,242.45,,102,46,2013-06-07,1.0,0.0,-0.5473,0.0,0.362
1075,AAPL130622P00200000,AAPL,2013-06-22,put,200.0,A,0.0,,0.02,,0,36,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1076,AAPL130622C00205000,AAPL,2013-06-22,call,205.0,A,236.05,,237.8,,0,23,2013-06-07,1.0,0.0,-0.5611,0.0,0.362
1077,AAPL130622P00205000,AAPL,2013-06-22,put,205.0,A,0.0,,0.03,,0,31,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1078,AAPL130622C00210000,AAPL,2013-06-22,call,210.0,A,231.05,,232.8,,0,26,2013-06-07,1.0,0.0,-0.5747,0.0,0.362
1079,AAPL130622P00210000,AAPL,2013-06-22,put,210.0,A,0.0,,0.03,,0,10,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1080,AAPL130622C00215000,AAPL,2013-06-22,call,215.0,A,226.05,,227.8,,0,13,2013-06-07,1.0,0.0,-0.5884,0.0,0.362
1081,AAPL130622P00215000,AAPL,2013-06-22,put,215.0,A,0.0,,0.03,,0,34,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1082,AAPL130622C00220000,AAPL,2013-06-22,call,220.0,A,221.05,,222.8,,0,13,2013-06-07,1.0,0.0,-0.6021,0.0,0.362
1083,AAPL130622P00220000,AAPL,2013-06-22,put,220.0,A,0.0,,0.03,,0,60,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1084,AAPL130622C00225000,AAPL,2013-06-22,call,225.0,A,216.05,,217.8,,0,0,2013-06-07,1.0,0.0,-0.6158,0.0,0.362
1085,AAPL130622P00225000,AAPL,2013-06-22,put,225.0,A,0.0,,0.03,,0,221,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1086,AAPL130622C00230000,AAPL,2013-06-22,call,230.0,A,211.05,,212.9,,0,1,2013-06-07,1.0,0.0,-0.6294,0.0,0.362
1087,AAPL130622P00230000,AAPL,2013-06-22,put,230.0,A,0.0,,0.03,,0,276,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1088,AAPL130622C00235000,AAPL,2013-06-22,call,235.0,A,206.05,,207.9,,0,17,2013-06-07,1.0,0.0,-0.6431,0.0,0.362
1089,AAPL130622P00235000,AAPL,2013-06-22,put,235.0,A,0.0,,0.03,,0,729,2013-06-07,0.0,0.0,0.0,0.0,0.3599
1090,AAPL130622C00240000,AAPL,2013-06-22,call,240.0,A,201.55,,202.5,,0,1,2013-06-07,1.0,0.0,-0.6569,0.0,0.362
